480000,add,node1
540000,add,node2
600000,add,node3
600000,add,node4
600000,add,node5
600000,add,node6
600000,add,node7
600000,add,node8
600000,add,node9
600000,add,node10
600000,add,node11
600000,add,node12
600000,add,node13
600000,add,node14
600000,add,node15
600000,add,node16
1440000,remove,node13
1440000,remove,node3
1440000,remove,node12
1560000,remove,node15
1560000,remove,node6
1680000,remove,node1
1740000,add,node17
1800000,add,node18
1800000,add,node19
2640000,remove,node18
3000000,remove,node11
3000000,remove,node8
3960000,remove,node4
4260000,remove,node16
7380000,add,node20
7440000,add,node21
7560000,add,node22
7620000,add,node23
8880000,remove,node21
9060000,add,node24
9120000,add,node25
9480000,remove,node25
9840000,remove,node20
9960000,add,node26
11520000,remove,node9
11520000,remove,node23
11640000,remove,node10
11640000,remove,node26
12120000,add,node27
12120000,add,node28
12360000,add,node29
12600000,add,node30
12720000,add,node31
12840000,add,node32
12960000,add,node33
12960000,add,node34
13320000,remove,node33
13500000,add,node35
13920000,remove,node35
13920000,remove,node31
14100000,add,node36
14100000,add,node37
15840000,remove,node30
15840000,remove,node37
15900000,add,node38
18600000,remove,node24
18780000,add,node39
19440000,remove,node34
19440000,remove,node38
19560000,remove,node27
19920000,add,node40
20160000,add,node41
20220000,add,node42
20220000,add,node43
22680000,remove,node43
22860000,add,node44
24780000,remove,node42
25260000,add,node45
29100000,remove,node45
29280000,add,node46
32940000,remove,node41
33420000,add,node47
33900000,remove,node39
34140000,add,node48
36420000,remove,node48
36600000,remove,node46
36720000,add,node49
36960000,add,node50
37260000,remove,node32
37260000,remove,node40
37560000,remove,node36
38520000,remove,node49
38640000,remove,node29
38640000,remove,node28
